Game,DQN_Reward,DQN_Steps,DQN_AvgTime,MCTS_Reward,MCTS_Steps,MCTS_AvgTime
1,0.22999999999999948,75,0.001821587880452474,0.25999999999999945,75,0.01190627098083496
2,-0.12000000000000054,75,0.0002064228057861328,0.06999999999999948,75,0.01132868766784668
3,8.030000000000008,59,0.00018245082790568725,1.2699999999999994,75,0.01537477175394694
4,-0.9300000000000005,75,0.00019808133443196616,0.25999999999999956,75,0.015949296951293945
5,-4.359999999999993,75,0.00020654678344726564,-0.7500000000000004,75,0.01393930753072103
6,-2.4,75,0.00020350456237792967,0.25999999999999956,75,0.015012515385945639
7,-7.049999999999992,75,0.0001842212677001953,-0.7500000000000004,75,0.014759613672892252
8,-5.649999999999996,75,0.00020174662272135415,0.25999999999999934,75,0.015406783421834309
9,-0.8200000000000006,75,0.00017348925272623697,0.25999999999999956,75,0.015702441533406577
10,-2.759999999999998,75,0.00019640922546386718,0.8899999999999997,75,0.01318052609761556
11,-2.4899999999999944,75,0.00017763773600260418,1.2699999999999996,75,0.011011794408162435
12,-0.9100000000000005,75,0.00017310460408528645,-0.7300000000000005,66,0.012341513778224136
13,-1.2200000000000006,75,0.0001767730712890625,0.25999999999999934,75,0.014398145675659179
14,-5.060000000000002,75,0.00020006179809570313,1.2699999999999994,75,0.01069416364034017
15,-0.8400000000000006,75,0.00019877115885416668,1.2699999999999994,75,0.010500666300455729
16,-0.7500000000000004,75,0.00017456690470377603,-0.7500000000000004,75,0.010275986989339193
17,-0.7500000000000004,75,0.0001819292704264323,-0.7500000000000004,75,0.010271968841552735
18,-1.7600000000000002,68,0.00017448733834659353,-0.7500000000000004,75,0.012222636540730794
19,-4.349999999999992,75,0.0001944128672281901,0.25999999999999934,75,0.010351959864298503
20,-5.8799999999999955,75,0.00020415623982747395,-0.7500000000000004,75,0.01575442949930827
21,-3.9000000000000026,75,0.00018123308817545572,-0.8400000000000005,75,0.013651135762532553
22,-1.1300000000000006,75,0.0002007738749186198,1.2699999999999994,75,0.01043232282002767
23,-1.7900000000000007,75,0.00018599192301432292,-0.8800000000000006,75,0.014086313247680664
24,-1.7000000000000004,71,0.00019125871255364215,1.2699999999999994,75,0.01046695073445638
25,0.6699999999999993,75,0.00019392967224121093,0.25999999999999934,75,0.01528310457865397
26,-0.9400000000000006,75,0.00018312136332194012,-0.7500000000000004,75,0.011542193094889323
27,-6.8299999999999965,75,0.00022082964579264323,-0.7500000000000004,75,0.013295373916625976
28,-4.449999999999996,75,0.00021718978881835938,0.25999999999999956,75,0.014661413828531901
29,-1.8000000000000005,72,0.0001830458641052246,0.25999999999999934,75,0.0157610289255778
30,-3.2199999999999935,75,0.0001974646250406901,-0.7500000000000004,75,0.010922501881917318
31,-3.1999999999999944,75,0.0002160517374674479,2.090000000000008,75,0.014398873647054037
32,0.6999999999999993,75,0.00020185470581054687,-0.7500000000000004,75,0.012168639500935873
33,-0.9400000000000005,75,0.00018190383911132813,-0.7500000000000004,75,0.014206024805704752
34,-1.21,3,0.00024056434631347656,0.25999999999999934,75,0.015162566502888997
35,-1.0300000000000007,75,0.0001949787139892578,-0.7500000000000004,75,0.01441462516784668
36,-2.84,75,0.00020494778951009115,-0.7500000000000004,75,0.012006559371948243
37,-3.219999999999997,75,0.00019186655680338542,0.16999999999999937,75,0.010879475275675456
38,-1.25,7,0.00020003318786621094,0.25999999999999956,75,0.015755786895751953
39,-3.469999999999994,75,0.00023383140563964844,-0.7500000000000004,75,0.012714608510335287
40,-2.2899999999999983,75,0.00020221392313639322,-0.7500000000000004,75,0.012641592025756836
41,-1.7000000000000006,75,0.00018693288167317707,-0.7500000000000004,75,0.01315262794494629
42,-4.080000000000003,75,0.00019444147745768228,-0.7500000000000004,75,0.01170366605122884
43,-0.9400000000000006,75,0.00022451082865397135,1.0799999999999994,75,0.014057369232177734
44,-0.9400000000000004,75,0.0002066802978515625,2.2799999999999994,75,0.011982056299845377
45,-1.2200000000000006,75,0.0002641137440999349,0.25999999999999956,75,0.015696061452229817
46,-1.680000000000001,75,0.00018918673197428385,0.25999999999999934,75,0.015076436996459962
47,-2.5500000000000016,75,0.00019260406494140626,-0.7500000000000004,75,0.014768015543619792
48,-2.84,75,0.00024484634399414063,0.25999999999999956,75,0.011724586486816407
49,-1.9400000000000002,19,0.00019830151608115747,1.0799999999999994,75,0.01622032165527344
50,-1.5500000000000003,47,0.00019400677782423952,-0.7500000000000004,75,0.016231905619303384
